Page Path,Monthly Avg Clicks,Bucket,Total Clicks (16mo),Impressions,Avg Position,CTR,Trend,Top Keyword,KW Position,KW Volume,KW Traffic (Ahrefs),Recommendation,Notes
/agency-growth-framework-jason-swenk,0.7,≤10/mo,11,522,16.9,2.11%,NEGLIGIBLE,,,,,301 REDIRECT,
/seo-tinder,0.6,≤10/mo,10,663,26.9,1.51%,NEGLIGIBLE,,,,,301 REDIRECT,
/outsource-seo,0.6,≤10/mo,9,12408,62.4,0.07%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/why-productize-agency,0.6,≤10/mo,9,8531,19.3,0.11%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/link-building-pricing,0.5,≤10/mo,8,25849,42.3,0.03%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/seo-agency-lead-generation,0.5,≤10/mo,8,19790,62.7,0.04%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/agency-offer-creation,0.5,≤10/mo,8,991,18.9,0.81%,NEGLIGIBLE,,,,,301 REDIRECT,
/technical-seo-bootcamp,0.4,≤10/mo,7,9797,29.3,0.07%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/keyword-intent,0.4,≤10/mo,7,8905,59.6,0.08%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/link-building-case-study,0.4,≤10/mo,7,8087,49.9,0.09%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/chris-dreyer,0.4,≤10/mo,6,10393,30.3,0.06%,NEGLIGIBLE,seo ranking io,23,700,1,301 REDIRECT,Some impressions - consider consolidating into related page
/charge-more-services,0.3,≤10/mo,5,5867,14.3,0.09%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
/marketing-your-agency-ruan-marinho,0.3,≤10/mo,5,1021,16.3,0.49%,NEGLIGIBLE,,,,,301 REDIRECT,
/get-featured-podcasts,0.2,≤10/mo,4,4492,40.9,0.09%,NEGLIGIBLE,,,,,301 REDIRECT,
/julia-mccoy,0.2,≤10/mo,4,895,41.5,0.45%,NEGLIGIBLE,,,,,301 REDIRECT,
/joel-klettke,0.2,≤10/mo,4,858,14.9,0.47%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
/ahrefs-search-engine-yep,0.2,≤10/mo,3,58763,48.4,0.01%,NEGLIGIBLE,ahrefs revenue,19,1400,5,301 REDIRECT,
/brian-dean-consulting,0.2,≤10/mo,3,4982,55.5,0.06%,NEGLIGIBLE,,,,,301 REDIRECT,
/joey-gilkey-agency-sales,0.2,≤10/mo,3,4598,11,0.07%,NEGLIGIBLE,sales driven agency,8,100,4,301 REDIRECT,Good position but low clicks - check SERP features
/sell-agency,0.2,≤10/mo,3,829,41.5,0.36%,NEGLIGIBLE,,,,,301 REDIRECT,
/garrett-mehrguth,0.2,≤10/mo,3,461,19.3,0.65%,NEGLIGIBLE,,,,,301 REDIRECT,
/david-martin,0.2,≤10/mo,3,316,28.4,0.95%,NEGLIGIBLE,,,,,301 REDIRECT,
/jj-russell,0.2,≤10/mo,3,194,18.6,1.55%,NEGLIGIBLE,,,,,301 REDIRECT,
/webinar-email-sequences,0.1,≤10/mo,2,5255,41.6,0.04%,NEGLIGIBLE,,,,,301 REDIRECT,Some impressions - consider consolidating into related page
/john-saunders,0.1,≤10/mo,2,984,11.3,0.2%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
/high-ticket-sales,0.1,≤10/mo,2,968,21.1,0.21%,NEGLIGIBLE,,,,,301 REDIRECT,
/olga-andrienko,0.1,≤10/mo,2,558,31.7,0.36%,NEGLIGIBLE,,,,,301 REDIRECT,
/why-is-my-website-losing-organic-traffic,0.1,≤10/mo,2,554,22.2,0.36%,NEGLIGIBLE,,,,,301 REDIRECT,
/adam-steele,0.1,≤10/mo,2,504,29.7,0.4%,NEGLIGIBLE,,,,,301 REDIRECT,
/extend-agency-contracts,0.1,≤10/mo,2,201,17.9,1%,NEGLIGIBLE,,,,,301 REDIRECT,
/public-relations-strategies-george-bradley,0.1,≤10/mo,2,145,22.7,1.38%,NEGLIGIBLE,,,,,301 REDIRECT,
/aleric-heck-youtube,0.1,≤10/mo,1,808,41.9,0.12%,NEGLIGIBLE,,,,,301 REDIRECT,
/why-seo,0.1,≤10/mo,1,652,41.4,0.15%,NEGLIGIBLE,,,,,301 REDIRECT,
/agency-growth,0.1,≤10/mo,1,594,30.4,0.17%,NEGLIGIBLE,,,,,301 REDIRECT,
/agency-profitability-management-marcel-petitpas,0.1,≤10/mo,1,195,10.8,0.51%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
/marketing-your-agency,0.1,≤10/mo,1,190,21.2,0.53%,NEGLIGIBLE,,,,,301 REDIRECT,
/4-rank-tracking-methods-for-ai-search,0,0 clicks,0,4594,44.3,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/scaling-saas-companies-dave-rogenmoser,0,0 clicks,0,841,55.7,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/joy-hawkings,0,0 clicks,0,134,43.2,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/seo-questions-1,0,0 clicks,0,111,40.3,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/blended-search,0,0 clicks,0,12,22.3,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/expand-ranking-radius,0,0 clicks,0,7,23.6,0%,NEGLIGIBLE,,,,,301 REDIRECT,
/project-organic-traffic,0,0 clicks,0,1,4,0%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
/group,0,0 clicks,0,1,7,0%,NEGLIGIBLE,,,,,301 REDIRECT,Good position but low clicks - check SERP features
